INP,CLS,TBT,LCP,PeakHeap
19.295,0,132.5,14479,110654232
19.209,0,131.5,14481,103025470
20.091,0,132,14479,94132250
18.639,0,119.5,14480,95753371
21.216,0,142.5,14481,102756315
18.936,0,148,14480,104405665
19.02,0,139.5,14480,110302662
18.573,0,122,14479,113945047
21.395,0,120.5,14479,102851919
19.429,0,125,14481,114579877
20.17,0,119.5,14479,95167090
16.487,0,125,14479,113947319
18.513,0,133.5,14479,102526646
16.145,0,123,14479,120326656
21.07,0,120,14479,114672372
18.026,0,120,14479,99797486
17.859,0,136,14481,111361559
17.781,0,125.5,14479,104536640
17.224,0,127.5,14479,117186079
17.579,0,129.5,14479,94146286
18.485,0,128,14479,110376047
18.497,0,116,14479,95354951
17.493,0,119.5,14479,94138699
19.528,0,131,14479,113262915
19.653,0,121,14479,106370627
19.339,0,127.5,14479,111351396
19.499,0,130.5,14479,106398433
21.309,0,116,14479,104040872
21.259,0,131.5,14479,119431786
20.289,0,127.5,14479,113348077
19.563,0,120,14480,95354635
17.469,0,133,14479,94306254
18.845,0,127.5,14479,120508892
20.058,0,134.5,14480,118301884
19.191,0,132.5,14481,94134363
19.071,0,122,14479,102721589
19.625,0,119.5,14479,102060302
19.651,0,119.5,14479,118594058
17.425,0,127,14480,110216705
20.197,0,134,14479,118813124
19.263,0,121.5,14479,98315634
18.794,0,117,14479,94922194
17.891,0,130.5,14480,99878531
20.464,0,121.5,14479,111412014
17.329,0,115,14479,111696947
19.718,0,121.5,14479,129410232
16.073,0,129,14481,104072151
17.207,0,117.5,14479,106520299
18.986,0,128,14480,106888086
18.84,0,139.5,14479,101744872
18.917,0,119.5,14479,124400032
21.343,0,122,14479,117050956
19.408,0,122,14479,98517224
20.031,0,136,14479,118814800
19.45,0,120,14479,104200160
19.125,0,131.5,14479,110708507
21.19,0,126.5,14479,113388167
20.307,0,121,14479,124595188
19.014,0,123,14481,113947263
20.616,0,126,14480,130834960
17.612,0,122,14479,106887890
19.065,0,123,14479,97609694
17.767,0,134.5,14480,94127290
17.718,0,133,14481,100231035
21.152,0,117,14479,106102283
21.234,0,126.5,14480,94147586
20.339,0,137.5,14479,102327531
18.823,0,123.5,14479,129932272
18.032,0,125.5,14481,118644252
18.71,0,129,14479,105932282
18.038,0,132,14480,94963411
19.899,0,122.5,14480,107048011
18.524,0,138,14479,94157938
18.764,0,130,14481,135963480
17.391,0,124,14479,112280830
18.925,0,139.5,14479,99883755
17.816,0,138.5,14479,113943247
18.829,0,122,14479,113947379
19.477,0,129.5,14480,95707367
16.071,0,124,14480,102326651
20.93,0,133.5,14482,108766944
21.595,0,135,14480,103049045
19.321,0,132,14480,94136527
20.607,0,129,14479,104095363
20.907,0,121.5,14479,116518324
16.828,0,120,14479,108618271
17.733,0,120,14479,122856233
21.285,0,131,14482,110563808
19.437,0,123,14480,102322471
19.255,0,135,14479,101117474
20.999,0,120.5,14479,113163987
17.675,0,138,14479,110959676
18.313,0,133,14479,97810112
17.519,0,134,14479,101474323
18.725,0,124.5,14479,121820361
21.21,0,118.5,14479,115208284
17.612,0,139.5,14479,113801700
18.127,0,123,14480,107503443
18.47,0,122,14479,105330835
17.302,0,127.5,14480,114537548
