INP,CLS,TBT,LCP,PeakHeap
16.996,0,0,1083,20049492
21,0,0,1084,29739953
19.331,0,0,1083,39105712
18.843,0,0,1083,23267283
18.464,0,0,1083,27296336
18.925,0,0,1083,24674368
17.555,0,0,1084,40155060
19.098,0,0,1083,42080326
20.509,0,0,1083,47743574
19.925,0,0,1083,23072372
17.654,0,0,1083,35464739
16.4,0,0,1083,49778972
17.013,0,0,1083,26247184
20.301,0,0,1083,49131499
18.687,0,0,1083,50139264
17.407,0,0,1083,36303020
18.944,0,0,1083,37615467
17.403,0,0,1084,29456656
18.609,0,0,1083,30730429
18.802,0,0,1083,41368620
19.26,0,0,1084,53112141
18.466,0,0,1083,40652949
19.215,0,0,1083,27127152
20.185,0,0,1083,38937196
18.519,0,0,1087,30947816
20.528,0,0,1085,33325232
19.198,0,0,1084,24828539
18.432,0,0,1083,53249915
17.342,0,0,1084,53048368
18.16,0,0,1083,23720228
19.701,0,0,1083,39280871
17.223,0,0,1083,24245316
18.004,0,0,1085,36588963
24.007,0,0,1084,33230215
16.853,0,0,1084,27610827
16.06,0,0,1083,25687016
21.502,0,0,1083,42903079
20.187,0,0,1083,32107264
19.207,0,0,1084,47931148
20.206,0,0,1083,45125268
20.286,0,0,1084,20046300
16.826,0,0,1085,44013554
16.918,0,0,1085,36229367
20.611,0,0,1083,22637584
17.502,0,0,1085,24270799
17.837,0,0,1085,47743486
19.226,0,0,1083,42556014
17.135,0,0,1083,25188612
21.2,0,0,1083,32245000
19.619,0,0,1085,54898499
21.175,0,0,1083,28716396
17.666,0,0,1083,34123647
19.396,0,0,1083,41682684
18.915,0,0,1083,46589015
18.726,0,0,1083,24572126
21.186,0,0,1085,44198222
20.019,0,0,1103,28179947
19.814,0,0,1083,38517603
20.963,0,0,1083,41975054
17.135,0,0,1083,42588963
20.299,0,0,1083,30716162
17.656,0,0,1084,51426792
19.212,0,0,1083,42200071
20.796,0,0,1084,24540690
19.303,0,0,1083,30702644
19.305,0,0,1083,22296334
16.113,0,0,1083,40140740
18.776,0,0,1084,26837244
17.859,0,0,1083,34270848
19.357,0,0,1084,25096068
18.833,0,0,1083,43411976
18.268,0,0,1083,49643083
20.63,0,0,1083,39878156
18.957,0,0,1086,52284443
20.312,0,0,1083,27123836
19.742,0,0,1083,38028743
19.759,0,0,1083,41117577
20.589,0,0,1083,28838172
19.888,0,0,1084,51352180
20.496,0,0,1083,19036460
18.376,0,0,1083,25882972
17.671,0,0,1083,48209610
18.796,0,0,1084,20061294
18.62,0,0,1083,27127448
18.791,0,0,1085,27914239
18.623,0,0,1083,39865369
17.87,0,0,1083,35056812
19.634,0,0,1083,23116716
18.014,0,0,1083,53247059
19.065,0,0,1085,22052332
20.012,0,0,1084,19261404
17.746,0,0,1083,39723972
16.821,0,0,1083,29921684
19.238,0,0,1083,19525448
20.102,0,0,1083,33442015
18.841,0,0,1083,42068432
20.883,0,0,1083,23691442
18.028,0,0,1083,44972974
20.382,0,0,1083,35719508
