INP,CLS,TBT,LCP,PeakHeap
20.366,0,0,2292,27412390
17.741,0,0,2293,26683503
21.8,0,0,2293,39896332
19.002,0,0,2293,46167521
18.978,0,0,2293,27584150
18.509,0,0,2293,26509899
21.008,0,0,2293,48651811
18.989,0,0,2293,45223581
17.34,0,0,2293,36804386
17.901,0,0,2293,39218240
18.894,0,0,2292,25374264
20.737,0,0,2293,45047193
17.322,0,0,2293,41277954
20.402,0,0,2292,30222292
18.844,0,0,2293,40651955
17.932,0,0,2293,46461596
19.867,0,0,2292,47238713
18.002,0,0,2293,34544892
18.823,0,0,2293,42439758
20.095,0,0,2293,23715170
21.454,0,0,2293,48459149
18.504,0,0,2293,52026606
18.67,0,0,2293,42581528
17.907,0,0,2293,28688240
19.609,0,0,2293,30220628
17.322,0,0,2293,24800775
18.725,0,0,2293,27909460
17.903,0,0,2293,43830922
20.623,0,0,2293,39778689
21.685,0,0,2293,25109711
17.403,0,0,2293,29353037
19.633,0,0,2293,43046665
20.157,0,0,2293,41858467
18.526,0,0,2293,45973303
17.098,0,0,2293,22074795
17.482,0,0,2293,45553423
18.778,0,0,2293,45460738
19.307,0,0,2293,39896123
19.847,0,0,2293,34298892
19.873,0,0,2292,26527258
17.57,0,0,2293,46884234
20.984,0,0,2293,28164379
18.612,0,0,2293,42844790
20.04,0,0,2293,41298093
18.659,0,0,2294,33757660
17.246,0,0,2293,33329946
21.187,0,0,2293,26604606
18.939,0,0,2293,28352996
21.129,0,0,2293,43463413
20.225,0,0,2293,22750751
18.545,0,0,2293,46229362
18.65,0,0,2293,48064318
21.622,0,0,2293,42484803
17.898,0,0,2293,40923887
19.735,0,0,2293,41134078
19.983,0,0,2293,38312228
19.417,0,0,2293,33153303
19.232,0,0,2293,29552374
19.913,0,0,2293,37919647
19.842,0,0,2293,28003659
19.111,0,0,2293,29319999
19.419,0,0,2293,45313490
17.619,0,0,2293,30528495
19.018,0,0,2293,45843237
20.394,0,0,2293,37165932
17.83,0,0,2293,39478020
17.89,0,0,2293,24934996
19.506,0,0,2292,48448287
17.734,0,0,2293,45471581
19.144,0,0,2293,35768575
19.93,0,0,2293,35570787
20.242,0,0,2293,25729516
21.042,0,0,2292,37694845
20.661,0,0,2293,30514734
20.572,0,0,2293,28829501
18.505,0,0,2292,30589948
20.486,0,0,2293,42428513
18.087,0,0,2293,44528662
18.461,0,0,2293,30724886
18.989,0,0,2293,31968264
19.59,0,0,2293,42067714
19.564,0,0,2293,33454968
18.282,0,0,2293,23536543
19.589,0,0,2293,43320609
20.46,0,0,2293,41362150
20.504,0,0,2294,31865222
20.31,0,0,2293,27118443
20.08,0,0,2293,39738279
19.043,0,0,2293,38977531
18.599,0,0,2293,27458217
19.523,0,0,2293,33451349
19.263,0,0,2292,48460846
17.834,0,0,2292,47502770
17.643,0,0,2293,42258237
19.061,0,0,2293,46045582
19.147,0,0,2293,40093548
20.175,0,0,2293,23835847
17.894,0,0,2293,41581490
20.263,0,0,2293,41107408
20.339,0,0,2293,41307830
