INP,CLS,TBT,LCP,PeakHeap
19.288,0,38.5,14613,65243251
18.755,0,33.5,14613,53372645
18.4,0,27.5,14613,40589588
20.392,0,35,14613,53147281
19.876,0,36,14613,65177559
18.346,0,32,14613,45437260
19.624,0,33.5,14613,53957420
18.583,0,29.5,14613,48108333
20.736,0,30,14612,69281736
20.781,0,33,14613,55306952
19.816,0,34.5,14613,70319695
20.724,0,42,14613,54747688
20.344,0,29,14613,47326083
19.147,0,42,14613,42328150
20.209,0,30,14613,62865419
19.61,0,29.5,14613,64742061
20.106,0,33.5,14613,53970884
20.737,0,31.5,14613,59324791
19.53,0,31.5,14613,53743868
20.847,0,34,14613,61033599
20.768,0,38.5,14612,59898303
18.912,0,40.5,14612,40093512
17.931,0,33.5,14612,50094967
19.328,0,36.5,14613,58274900
21.463,0,32.5,14613,53624236
19.497,0,29.5,14613,61154548
19.568,0,33.5,14613,45146444
19.678,0,34.5,14613,53373389
19.557,0,34.5,14613,53376866
19.925,0,33.5,14613,34379706
19.197,0,30.5,14613,57540374
19.225,0,35,14614,68455448
20.635,0,32,14613,70967114
21.219,0,33,14613,32190786
20.06,0,31,14614,32221718
19.329,0,38,14613,53585327
21.193,0,30,14613,56703622
18.473,0,32,14613,66795776
19.828,0,31,14613,59664014
19.564,0,31.5,14613,71396411
18.319,0,31,14613,45005743
21.167,0,33,14613,36617206
19.664,0,30,14613,53745427
18.78,0,32,14613,49580870
18.011,0,31,14614,48810510
18.545,0,34,14613,68257267
20.821,0,34,14613,53374949
18.703,0,35,14613,52930916
19.672,0,40.5,14613,53372961
19.309,0,33,14613,58569785
18.829,0,32,14613,61822208
21.292,0,40.5,14613,54326377
19.545,0,33.5,14613,59796981
19.224,0,31.5,14613,62836159
20.834,0,37.5,14612,53377985
20.534,0,29,14613,53371786
21.554,0,30.5,14613,48942207
20.422,0,39,14613,61284576
19.264,0,32.5,14612,53382250
19.833,0,34,14613,65920008
20.899,0,30.5,14613,53507361
18.281,0,32.5,14613,53381189
19.78,0,34,14613,47433457
21.196,0,35.5,14613,61312560
19.303,0,35.5,14612,46509846
19.343,0,35.5,14613,57404264
20.83,0,30,14613,55175535
19.931,0,39.5,14613,62768003
18.767,0,33.5,14613,61159233
18.03,0,31.5,14613,36883019
19.344,0,39.5,14612,52845077
21.093,0,41,14613,68632947
18.931,0,40,14613,53378953
19.592,0,32.5,14613,55215202
19.454,0,29,14613,40610245
18.405,0,33,14613,56343644
20.522,0,42.5,14613,66036483
20.059,0,33,14613,69639628
18.876,0,30.5,14613,53147608
20.545,0,32,14613,59258888
18.804,0,33.5,14613,52864814
20.241,0,29.5,14613,39832603
19.72,0,33,14613,41069719
21.048,0,30,14613,53973232
20.731,0,29.5,14613,62655900
18.893,0,35.5,14613,53376162
20.53,0,31,14613,53393714
19.093,0,32,14613,47010898
20.139,0,30.5,14613,59862807
18.331,0,30,14613,57289412
17.854,0,38,14613,65764163
19.496,0,37.5,14613,69564571
19.16,0,35.5,14613,49385742
18.267,0,32,14613,53624688
20.578,0,31.5,14613,53374756
19.386,0,36,14613,53376629
19.869,0,29,14613,60148143
21.079,0,32.5,14613,69712390
19.253,0,35.5,14613,41982025
20.679,0,39.5,14613,53379168
